event_type,time_to_recover,event_timing,team
substitutions,21.99,after event,France
substitutions,127.966,after event,France
substitutions,80.091,before event,Poland
substitutions,66.135,before event,Poland
substitutions,18.938,before event,Poland
substitutions,21.99,before event,France
substitutions,127.966,before event,France
substitutions,18.327,after event,Poland
substitutions,46.833,after event,Poland
substitutions,80.091,before event,Poland
substitutions,66.135,before event,Poland
substitutions,18.938,before event,Poland
substitutions,21.99,before event,France
substitutions,127.966,before event,France
substitutions,18.327,after event,Poland
substitutions,46.833,after event,Poland
substitutions,18.327,before event,Poland
substitutions,46.833,before event,Poland
substitutions,3.261,after event,France
substitutions,99.911,after event,France
substitutions,84.835,after event,France
substitutions,139.776,after event,Poland
substitutions,18.327,before event,Poland
substitutions,46.833,before event,Poland
substitutions,3.261,after event,France
substitutions,99.911,after event,France
substitutions,84.835,after event,France
substitutions,139.776,after event,Poland
substitutions,57.072,before event,Poland
substitutions,87.342,before event,Poland
substitutions,164.57,before event,France
substitutions,57.072,before event,Poland
substitutions,87.342,before event,Poland
substitutions,164.57,before event,France
substitutions,4.152,after event,Poland
substitutions,8.105,after event,France
substitutions,112.835,after event,France
substitutions,2.018,before event,England
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,2.018,before event,England
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,330.881,before event,France
substitutions,1.414,after event,France
substitutions,48.659,after event,England
substitutions,82.229,after event,France
substitutions,75.111,after event,France
substitutions,55.41,after event,England
substitutions,88.023,before event,England
substitutions,5.34,before event,England
substitutions,236.893,before event,England
substitutions,1.354,after event,England
substitutions,214.494,before event,France
substitutions,72.578,after event,France
substitutions,65.077,after event,Morocco
substitutions,10.956,after event,Morocco
substitutions,82.102,after event,France
substitutions,42.638,after event,France
substitutions,6.32,after event,France
substitutions,87.936,after event,France
substitutions,1.254,after event,France
substitutions,152.259,after event,France
substitutions,12.671,after event,France
substitutions,4.912,after event,Morocco
substitutions,34.609,before event,Morocco
substitutions,35.394,before event,Morocco
substitutions,120.823,before event,Morocco
substitutions,80.577,before event,Morocco
substitutions,113.94,after event,Morocco
substitutions,6.247,after event,France
substitutions,87.288,after event,Morocco
substitutions,31.817,after event,France
substitutions,7.913,after event,France
substitutions,217.207,after event,Morocco
substitutions,35.394,before event,Morocco
substitutions,120.823,before event,Morocco
substitutions,80.577,before event,Morocco
substitutions,113.94,before event,Morocco
substitutions,6.247,after event,France
substitutions,87.288,after event,Morocco
substitutions,31.817,after event,France
substitutions,7.913,after event,France
substitutions,217.207,after event,Morocco
substitutions,35.394,before event,Morocco
substitutions,120.823,before event,Morocco
substitutions,80.577,before event,Morocco
substitutions,113.94,before event,Morocco
substitutions,6.247,after event,France
substitutions,87.288,after event,Morocco
substitutions,31.817,after event,France
substitutions,7.913,after event,France
substitutions,217.207,after event,Morocco
substitutions,99.226,before event,Morocco
substitutions,7.451,before event,Morocco
substitutions,106.918,before event,Morocco
substitutions,7.774,before event,Morocco
substitutions,11.784,after event,France
substitutions,17.815,after event,France
substitutions,14.816,after event,Morocco
substitutions,148.505,after event,Morocco
substitutions,99.226,before event,Morocco
substitutions,7.451,before event,Morocco
substitutions,106.918,before event,Morocco
substitutions,7.774,before event,Morocco
substitutions,11.784,after event,France
substitutions,17.815,after event,France
substitutions,14.816,after event,Morocco
substitutions,148.505,after event,Morocco
substitutions,11.971,before event,France
substitutions,8.102,before event,Argentina
substitutions,76.814,before event,France
substitutions,97.604,before event,Argentina
substitutions,139.563,before event,France
substitutions,45.645,after event,France
substitutions,49.39,after event,France
substitutions,145.7,after event,Argentina
substitutions,11.971,before event,France
substitutions,8.102,before event,Argentina
substitutions,76.814,before event,France
substitutions,97.604,before event,Argentina
substitutions,139.563,before event,France
substitutions,45.645,after event,France
substitutions,49.39,after event,France
substitutions,145.7,after event,Argentina
substitutions,107.476,before event,Argentina
substitutions,109.417,before event,Argentina
substitutions,16.378,after event,Argentina
substitutions,92.541,after event,Argentina
substitutions,2.614,after event,Argentina
substitutions,140.436,after event,Argentina
substitutions,18.454,after event,Argentina
substitutions,2.614,before event,Argentina
substitutions,140.436,before event,Argentina
substitutions,18.454,before event,Argentina
substitutions,15.307,before event,Argentina
substitutions,233.272,before event,Argentina
substitutions,1.675,after event,Argentina
substitutions,67.145,after event,France
substitutions,26.69,after event,France
substitutions,4.732,after event,France
substitutions,39.69,after event,France
substitutions,18.486,after event,France
substitutions,2.614,before event,Argentina
substitutions,140.436,before event,Argentina
substitutions,18.454,before event,Argentina
substitutions,15.307,before event,Argentina
substitutions,233.272,before event,Argentina
substitutions,1.675,after event,Argentina
substitutions,67.145,after event,France
substitutions,26.69,after event,France
substitutions,4.732,after event,France
substitutions,39.69,after event,France
substitutions,18.486,after event,France
substitutions,155.744,after event,France
substitutions,1.888,after event,France
substitutions,75.676,after event,Argentina
substitutions,5.204,after event,Argentina
substitutions,215.058,after event,Argentina
substitutions,155.744,before event,France
substitutions,1.888,before event,France
substitutions,75.676,before event,Argentina
substitutions,5.204,before event,Argentina
substitutions,215.058,before event,Argentina
substitutions,11.789,after event,Argentina
substitutions,32.988,after event,Argentina
substitutions,49.61,after event,Argentina
substitutions,11.789,before event,Argentina
substitutions,32.988,before event,Argentina
substitutions,49.61,before event,Argentina
substitutions,49.575,before event,France
substitutions,78.338,before event,France
substitutions,4.52,after event,Argentina
substitutions,84.061,after event,Argentina
substitutions,11.789,before event,Argentina
substitutions,32.988,before event,Argentina
substitutions,49.61,before event,Argentina
substitutions,49.575,before event,France
substitutions,78.338,before event,France
substitutions,4.52,after event,Argentina
substitutions,84.061,after event,Argentina
substitutions,4.663,before event,Argentina
substitutions,109.698,before event,France
substitutions,73.064,before event,France
substitutions,22.046,after event,France
substitutions,4.578,after event,France
substitutions,71.313,after event,France
substitutions,73.064,before event,France
substitutions,22.046,before event,France
substitutions,4.578,before event,France
substitutions,71.313,before event,France
substitutions,7.415,after event,Argentina
substitutions,5.376,after event,France
substitutions,7.401,after event,Argentina
substitutions,188.97,after event,Argentina
substitutions,7.415,before event,Argentina
substitutions,5.376,before event,France
substitutions,7.401,before event,Argentina
substitutions,188.97,before event,Argentina
substitutions,60.442,after event,Argentina
substitutions,4.336,after event,France
substitutions,7.415,before event,Argentina
substitutions,5.376,before event,France
substitutions,7.401,before event,Argentina
substitutions,188.97,before event,Argentina
substitutions,60.442,after event,Argentina
substitutions,4.336,after event,France
tactical_shifts,21.166,before event,France
tactical_shifts,294.755,before event,France
tactical_shifts,173.909,after event,Denmark
tactical_shifts,228.204,before event,Denmark
tactical_shifts,21.886,after event,Denmark
tactical_shifts,145.561,after event,Denmark
tactical_shifts,15.153,before event,France
