event_type,time_to_recover,event_timing,team
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,187.444,before event,Saudi Arabia
substitutions,278.466,before event,Saudi Arabia
substitutions,48.022,after event,Saudi Arabia
substitutions,4.573,after event,Saudi Arabia
substitutions,157.525,after event,Argentina
substitutions,48.022,before event,Saudi Arabia
substitutions,4.573,before event,Saudi Arabia
substitutions,157.525,before event,Argentina
substitutions,11.784,before event,Argentina
substitutions,79.993,before event,Saudi Arabia
substitutions,324.349,after event,Saudi Arabia
substitutions,40.852,before event,Saudi Arabia
substitutions,71.598,before event,Argentina
substitutions,213.64,before event,Argentina
substitutions,4.068,after event,Argentina
substitutions,204.302,after event,Saudi Arabia
substitutions,105.629,after event,Saudi Arabia
substitutions,71.598,before event,Argentina
substitutions,213.64,before event,Argentina
substitutions,4.068,after event,Argentina
substitutions,204.302,after event,Saudi Arabia
substitutions,105.629,after event,Saudi Arabia
substitutions,25.859,before event,Saudi Arabia
substitutions,270.896,before event,Saudi Arabia
substitutions,196.615,after event,Saudi Arabia
substitutions,30.983,after event,Saudi Arabia
substitutions,39.179,after event,Saudi Arabia
substitutions,70.269,before event,Argentina
substitutions,53.01,before event,Australia
substitutions,215.455,before event,Australia
substitutions,57.003,after event,Australia
substitutions,11.266,after event,Australia
substitutions,2.194,after event,Australia
substitutions,250.748,after event,Australia
substitutions,10.514,before event,Australia
substitutions,198.448,after event,Australia
substitutions,142.974,after event,Argentina
substitutions,10.514,before event,Australia
substitutions,198.448,after event,Australia
substitutions,142.974,after event,Argentina
substitutions,401.407,before event,Argentina
substitutions,87.839,after event,Argentina
substitutions,81.239,after event,Australia
substitutions,401.407,before event,Argentina
substitutions,87.839,after event,Argentina
substitutions,81.239,after event,Australia
substitutions,2.594,after event,Australia
substitutions,87.839,after event,Argentina
substitutions,81.239,after event,Australia
substitutions,2.594,after event,Australia
substitutions,87.839,after event,Argentina
substitutions,81.239,after event,Australia
substitutions,2.594,after event,Australia
substitutions,87.839,after event,Argentina
substitutions,81.239,after event,Australia
substitutions,2.594,after event,Australia
substitutions,81.239,before event,Australia
substitutions,2.594,before event,Australia
substitutions,1.982,before event,Argentina
substitutions,35.388,before event,Australia
substitutions,31.324,before event,Australia
substitutions,116.019,before event,Australia
substitutions,43.213,after event,Australia
substitutions,57.692,after event,Australia
substitutions,179.234,after event,Argentina
substitutions,81.239,before event,Australia
substitutions,2.594,before event,Australia
substitutions,1.982,before event,Argentina
substitutions,35.388,before event,Australia
substitutions,31.324,before event,Australia
substitutions,116.019,before event,Australia
substitutions,43.213,after event,Australia
substitutions,57.692,after event,Australia
substitutions,179.234,after event,Argentina
substitutions,10.425,after event,Argentina
substitutions,8.587,after event,Argentina
substitutions,150.846,after event,Netherlands
substitutions,84.451,after event,Argentina
substitutions,39.16,after event,Argentina
substitutions,10.425,after event,Argentina
substitutions,8.587,after event,Argentina
substitutions,150.846,after event,Netherlands
substitutions,84.451,after event,Argentina
substitutions,39.16,after event,Argentina
substitutions,4.086,before event,Argentina
substitutions,129.192,before event,Netherlands
substitutions,116.946,before event,Netherlands
substitutions,6.827,after event,Netherlands
substitutions,18.528,after event,Netherlands
substitutions,7.499,after event,Netherlands
substitutions,57.437,after event,Netherlands
substitutions,5.192,after event,Netherlands
substitutions,40.013,after event,Netherlands
substitutions,76.367,after event,Argentina
substitutions,4.086,before event,Argentina
substitutions,129.192,before event,Netherlands
substitutions,116.946,before event,Netherlands
substitutions,6.827,before event,Netherlands
substitutions,18.528,before event,Netherlands
substitutions,7.499,before event,Netherlands
substitutions,57.437,before event,Netherlands
substitutions,5.192,after event,Netherlands
substitutions,40.013,after event,Netherlands
substitutions,76.367,after event,Argentina
substitutions,46.914,after event,Netherlands
substitutions,20.883,after event,Netherlands
substitutions,5.717,after event,Argentina
substitutions,128.633,before event,Netherlands
substitutions,13.831,before event,Argentina
substitutions,107.053,before event,Netherlands
substitutions,83.732,after event,Netherlands
substitutions,3.1310000000000002,after event,Netherlands
substitutions,4.723,after event,Netherlands
substitutions,24.81,after event,Netherlands
substitutions,128.633,before event,Netherlands
substitutions,13.831,before event,Argentina
substitutions,107.053,before event,Netherlands
substitutions,83.732,after event,Netherlands
substitutions,3.1310000000000002,after event,Netherlands
substitutions,4.723,after event,Netherlands
substitutions,24.81,after event,Netherlands
substitutions,128.633,before event,Netherlands
substitutions,13.831,before event,Argentina
substitutions,107.053,before event,Netherlands
substitutions,83.732,after event,Netherlands
substitutions,3.1310000000000002,after event,Netherlands
substitutions,4.723,after event,Netherlands
substitutions,24.81,after event,Netherlands
substitutions,190.379,after event,Netherlands
substitutions,13.831,before event,Argentina
substitutions,107.053,before event,Netherlands
substitutions,83.732,before event,Netherlands
substitutions,3.1310000000000002,before event,Netherlands
substitutions,4.723,after event,Netherlands
substitutions,24.81,after event,Netherlands
substitutions,190.379,after event,Netherlands
substitutions,6.114,after event,Argentina
substitutions,30.484,after event,Netherlands
substitutions,53.977,after event,Netherlands
substitutions,4.623,after event,Netherlands
substitutions,101.573,after event,Argentina
substitutions,87.476,after event,Netherlands
substitutions,4.623,before event,Netherlands
substitutions,101.573,before event,Argentina
substitutions,87.476,before event,Netherlands
substitutions,76.443,before event,Netherlands
substitutions,55.883,after event,Argentina
substitutions,46.247,after event,Netherlands
substitutions,2.805,after event,Argentina
substitutions,9.959,after event,Argentina
substitutions,21.563,after event,Netherlands
substitutions,194.707,after event,Netherlands
substitutions,87.476,before event,Netherlands
substitutions,76.443,before event,Netherlands
substitutions,55.883,before event,Argentina
substitutions,46.247,before event,Netherlands
substitutions,2.805,after event,Argentina
substitutions,9.959,after event,Argentina
substitutions,21.563,after event,Netherlands
substitutions,194.707,after event,Netherlands
substitutions,74.739,after event,Argentina
substitutions,160.128,after event,Argentina
substitutions,16.473,after event,Argentina
substitutions,4.48,after event,Argentina
